Name,Timestamp,Status,Description,Vibration Frequency,Vibration Amplitude,Bearing Temperature,Motor Temperature,Belt Load,Torque,Noise Levels,Current and Voltage,Hydraulic Pressure,Belt Thickness,Roller Condition
Conveyor Belt 4,ERROR,Running,,1505.51,0.09,64.5,84.429,1.07,299.11,85.82,14.35,378.09,1.572,83.664
Conveyor Belt 4,8/15/2023 9:45,Running,,1492.6,0.05,64.762,83.739,1.36,282.03,62.16,15.78,378.69,1.57175,83.591
Conveyor Belt 4,8/15/2023 10:00,Running,,1500.73,0.05,64.781,84.33,1.26,298.4,60.82,15.31,379.78,1.5715,83.518
Conveyor Belt 4,8/15/2023 10:15,Running,,1500.92,0.04,64.565,84.199,1.16,289.06,55.82,14.78,383.06,1.57125,83.445
Conveyor Belt 4,8/15/2023 10:30,Running,,1496.76,0.09,65.442,85.319,1.28,293.02,91.54,15.42,381.32,1.571,83.372
Conveyor Belt 4,8/15/2023 10:45,Running,,1507.65,0.05,65.764,85.499,1.18,301.36,63.16,14.91,384.12,1.57075,83.299
Conveyor Belt 4,8/15/2023 11:00,Running,,1506.8,0.05,65.444,85.23,1.39,294.49,64.54,15.96,384.44,1.5705,83.226
Conveyor Belt 4,8/15/2023 11:15,Running,,1500.1,0.1,65.535,85.066,1.07,295.16,83.22,14.34,384.82,1.57025,83.153
Conveyor Belt 4,8/15/2023 11:30,Running,,1496.11,0.05,66.163,85.713,1.38,303.99,58.17,15.92,376.43,1.57,83.08
Conveyor Belt 4,8/15/2023 11:45,Running,,1497.1,0.04,66.531,86.055,,319.15,60.57,14.03,ERROR,1.56975,83.007
Conveyor Belt 4,8/15/2023 12:00,Running,,1501.79,0.06,66.056,86.438,1.38,311.46,59.18,15.91,383.77,1.5695,82.934
Conveyor Belt 4,8/15/2023 12:15,Running,,1503.77,0.08,66.892,86.808,1.16,319.71,89.5,14.8,383.99,1.56925,82.861
Conveyor Belt 4,8/15/2023 12:30,Running,,1508.58,0.06,66.838,86.403,1.23,282.81,60.66,15.17,380.19,1.569,82.788
Conveyor Belt 4,8/15/2023 12:45,Running,,,0.09,67.242,86.332,1.23,283.52,85.68,15.16,384.93,1.56875,82.715
Conveyor Belt 4,8/15/2023 13:00,Running,,1494.09,0.05,67.409,87.401,1.18,292.61,63.76,14.88,375.12,1.5685,82.642
Conveyor Belt 4,8/15/2023 13:15,Running,,1499.64,0.1,67.635,87.277,1.1,281.69,85.44,14.49,375.65,1.56825,82.569
Conveyor Belt 4,8/15/2023 13:30,Running,,1507.24,0.05,67.608,87.434,1.23,317.22,61.02,15.16,375.06,1.568,82.496
Conveyor Belt 4,8/15/2023 13:45,Running,,1494.41,0.05,68.421,87.915,1.27,315.24,64.49,15.35,378.02,1.56775,82.423
Conveyor Belt 4,8/15/2023 14:00,Running,,1494.4,0.06,67.824,88.153,1.4,293.16,62.74,16,377.9,1.5675,82.35
Conveyor Belt 4,8/15/2023 14:15,Running,,1507.02,0.04,67.977,87.928,1.03,292.2,59.75,14.16,379.93,1.56725,82.277
Conveyor Belt 4,8/15/2023 14:30,Running,,1503.61,0.05,68.576,88.517,1.33,308.15,59.85,15.64,380.17,1.567,82.204
Conveyor Belt 4,8/15/2023 14:45,Running,,1498.66,0.08,68.584,88.478,1.05,285.63,83.88,14.23,375.54,1.56675,82.131
Conveyor Belt 4,8/15/2023 15:00,Running,,1505.6,0.04,69.091,88.167,1.3,313.92,60.26,15.52,380.81,1.5665,82.058
Conveyor Belt 4,8/15/2023 15:15,Running,,1499.18,0.08,68.816,89.137,1.34,299.01,89.3,15.69,377.41,1.56625,81.985
Conveyor Belt 4,8/15/2023 15:30,,,1496.82,0.09,69.964,88.995,1.32,304.5,93.21,ERROR,382.91,1.566,81.912
Conveyor Belt 4,8/15/2023 15:45,Running,,1496.09,0.06,69.467,89.266,1.16,286.35,56.58,14.82,383.43,1.56575,81.839
Conveyor Belt 4,8/15/2023 16:00,Running,,1501.02,0.06,69.519,89.073,1.05,303.39,58.06,14.24,383.39,1.5655,81.766
Conveyor Belt 4,8/15/2023 16:15,nan,,1505.21,0.04,70.064,89.878,1.16,318.87,58.55,14.82,383.65,1.56525,81.693
Conveyor Belt 4,8/15/2023 16:30,Running,,1508.89,0.04,70.461,89.512,1.24,301.58,55.88,15.2,382.59,1.565,81.62
Conveyor Belt 4,8/15/2023 16:45,Running,,1499.29,0.06,70.686,90.588,1.08,299.84,62.79,14.38,378.19,1.56475,81.547
Conveyor Belt 4,8/15/2023 17:00,Running,,1502.72,0.04,70.643,90.636,1.08,290.84,64.82,14.38,380.52,1.5645,81.474
Conveyor Belt 4,8/15/2023 17:15,Running,,1509.66,0.09,71.315,90.858,1.18,311.51,93.42,14.91,383.9,1.56425,81.401
Conveyor Belt 4,8/15/2023 17:30,Running,,1503.47,0.1,71.294,91.052,1.26,303.69,84.13,15.31,377.56,1.564,81.328
Conveyor Belt 4,8/15/2023 17:45,Running,,1503.56,0.04,71.129,90.66,1.26,303.29,63.83,15.28,381.51,1.56375,81.255
Conveyor Belt 4,8/15/2023 18:00,Running,,1494.3,0.06,71.319,91.405,1.18,284.07,56.29,14.88,376.31,1.5635,81.182
Conveyor Belt 4,8/15/2023 18:15,Running,,1499.08,0.1,71.926,91.5,1.1,306.48,85.72,14.49,380.02,1.56325,81.109
Conveyor Belt 4,8/15/2023 18:30,Running,,1496.13,0.05,71.837,91.829,1.15,303.69,62.82,14.75,379.92,1.563,81.036
Conveyor Belt 4,8/15/2023 18:45,Running,,1501.45,0.04,72.659,91.338,1.3,317.62,57.98,15.49,376.91,1.56275,80.963
Conveyor Belt 4,8/15/2023 19:00,Running,,1491.35,0.08,72.875,91.883,1.11,287.91,97.17,14.53,376.44,1.5625,80.89
Conveyor Belt 4,8/15/2023 19:15,Running,,1493.36,0.1,72.878,92.381,1.04,307.57,88.27,14.2,384.7,1.56225,80.817
Conveyor Belt 4,8/15/2023 19:30,Running,,1501.82,0.06,72.557,92.573,1.22,316.28,,15.09,380.72,1.562,80.744
Conveyor Belt 4,8/15/2023 19:45,Running,,1496.57,0.09,72.862,92.36,1.38,285.7,76.43,15.89,377.43,1.56175,80.671
Conveyor Belt 4,8/15/2023 20:00,Running,,1505.83,0.09,73.741,92.413,1.2,290.97,85.29,15.01,379.36,1.5615,80.598
Conveyor Belt 4,8/15/2023 20:15,Running,,1496.86,0.04,73.089,92.677,1.1,294.1,58.9,14.48,375.32,1.56125,80.525
Conveyor Belt 4,8/15/2023 20:30,Running,,1490.97,0.07,73.91,93.218,1.15,317.49,89.39,14.73,380.38,1.561,80.452
Conveyor Belt 4,8/15/2023 20:45,Running,,1495.81,0.04,74.331,93.289,1.19,307.64,59.54,14.97,377.18,1.56075,80.379
Conveyor Belt 4,8/15/2023 21:00,Running,,1491.34,0.04,74.179,93.58,1.3,288.86,55.75,15.5,379.31,1.5605,80.306
Conveyor Belt 4,8/15/2023 21:15,Running,,1497.93,nan,74.603,93.487,1.34,308.1,59.28,15.68,380.92,1.56025,80.233
Conveyor Belt 4,8/15/2023 21:30,Running,,1499.02,0.09,74.23,94.213,1.2,316.37,87.2,14.98,383.16,1.56,80.16
Conveyor Belt 4,8/15/2023 21:45,Running,,1499.49,0.06,75.218,94.206,1.24,285.67,56.75,15.21,382.96,1.55975,80.087
Conveyor Belt 4,8/15/2023 22:00,Running,,1490.69,0.05,75.089,94.3,1.16,311.37,65,ERROR,379.97,1.5595,80.014
Conveyor Belt 4,nan,Running,,1499.56,0.04,75.342,94.554,1.29,306.51,64.62,15.46,380.23,1.55925,79.941
Conveyor Belt 4,8/15/2023 22:30,Running,,1501.13,0.09,75.083,94.971,1.11,317.34,79.63,14.55,383.23,1.559,79.868
Conveyor Belt 4,8/15/2023 22:45,Running,,1506.74,0.05,,95.59,1.25,309.2,55.44,15.23,384.42,1.55875,79.795
Conveyor Belt 4,8/15/2023 23:00,Running,,1502.84,0.05,76.119,95.287,1.39,305.42,62.72,15.93,377,1.5585,79.722
Conveyor Belt 4,8/15/2023 23:15,Running,,1503.36,0.05,75.889,95.888,1.06,312.37,64.7,14.28,377.08,1.55825,79.649
Conveyor Belt 4,8/15/2023 23:30,Running,,1498.34,0.04,76.001,95.738,1.28,287.36,57.81,,384.19,1.558,79.576
Conveyor Belt 4,8/15/2023 23:45,Running,,1495.26,0.09,76.106,95.848,1.3,297.35,85.13,15.49,376.62,1.55775,79.503
Conveyor Belt 4,8/16/2023 0:00,Running,,1490.82,0.07,77.13,96.902,1.36,318.07,88.62,15.79,382.09,1.5575,79.43
Conveyor Belt 4,8/16/2023 0:15,Running,,1498.37,0.04,77.076,96.975,1.07,295.5,59.68,14.34,376.48,1.55725,79.357
Conveyor Belt 4,8/16/2023 0:30,Running,,1503.22,0.06,77.307,96.755,1.21,314.38,58.2,15.03,384.2,1.557,79.284
,8/16/2023 0:45,Running,,1508.11,0.04,77.474,97.661,1.29,311.84,56.16,15.43,379.79,1.55675,79.211
Conveyor Belt 4,8/16/2023 1:00,Running,,1498.13,0.06,77.785,97.471,1.07,317.14,55.39,14.35,383.95,1.5565,79.138
Conveyor Belt 4,8/16/2023 1:15,Running,,1494.89,0.05,77.813,97.814,1.33,305.58,62.25,15.65,383.02,1.55625,79.065
Conveyor Belt 4,8/16/2023 1:30,Running,,1498.2,0.06,77.622,97.464,1.18,285.96,59.25,14.91,383.54,1.556,78.992
Conveyor Belt 4,8/16/2023 1:45,Running,,1507.17,nan,78.487,98.139,1.24,298.84,58.93,15.21,377.37,1.55575,78.919
Conveyor Belt 4,8/16/2023 2:00,Running,,1507.43,0.06,78.294,97.877,1.07,307.51,61.77,14.36,377.28,1.5555,78.846
Conveyor Belt 4,8/16/2023 2:15,Running,,1502.35,0.05,78.561,98.96,1.17,308.73,62.23,14.87,377.47,1.55525,78.773
Conveyor Belt 4,8/16/2023 2:30,Running,,1507.39,0.05,78.848,98.676,1.18,312.55,61.44,14.89,383.94,1.555,78.7
Conveyor Belt 4,8/16/2023 2:45,Running,,1504.49,0.05,78.603,99.41,1.32,293.46,63.05,15.58,384.45,1.55475,78.627
Conveyor Belt 4,8/16/2023 3:00,Maintenance,Clean the Conveyor,1490,0.04,60,80,1,280,55,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 3:15,Maintenance,Check for Damage,1490,0.04,60,80,1,280,55,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 3:30,Maintenance,nan,1490,0.04,60,ERROR,1,280,,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 3:45,Maintenance,Check Belt Tension,1490,0.04,60,nan,1,280,55,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 4:00,Maintenance,Examine Belt Joints,1490,0.04,60,80,1,280,55,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 4:15,Maintenance,Inspect Safety Guards,1490,0.04,60,80,1,280,55,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 4:30,Maintenance,Check Belt Cleaners and Scrapers,1490,0.04,60,80,1,280,55,14,375,1.55475,78.627
Conveyor Belt 4,8/16/2023 4:45,Running,,1497.61,0.04,60.039,80.197,1.31,283.41,58.03,15.53,381.71,1.5545,78.554
Conveyor Belt 4,8/16/2023 5:00,Running,,1502.78,0.05,60.82,80.187,1.24,318.5,58.66,15.21,382.02,1.55425,78.481
Conveyor Belt 4,8/16/2023 5:15,Running,,1492.64,0.05,60.631,80.033,1.37,308.61,58.19,15.87,383.58,1.554,78.408
Conveyor Belt 4,8/16/2023 5:30,,,1494.29,0.05,60.636,80.606,1.39,303.8,55.75,15.97,375.78,1.55375,78.335
Conveyor Belt 4,8/16/2023 5:45,Running,,1502.74,0.05,60.899,80.76,1.06,299.1,60.6,14.29,384.55,1.5535,78.262
Conveyor Belt 4,8/16/2023 6:00,Running,,1498.91,0.04,61.513,80.798,1.16,286.42,64.25,14.81,379.14,1.55325,78.189
Conveyor Belt 4,8/16/2023 6:15,Running,,1500.43,0.05,61.767,81.078,1.21,287.82,64.83,15.05,384.57,1.553,78.116
Conveyor Belt 4,8/16/2023 6:30,Running,,1492.73,0.06,61.631,81.415,1.07,285.96,57.92,14.33,379.4,1.55275,78.043
Conveyor Belt 4,8/16/2023 6:45,Running,,1503.17,0.05,62.597,81.563,1.14,315.87,62.16,14.69,378,1.5525,77.97
Conveyor Belt 4,8/16/2023 7:00,Running,,1503.54,0.05,62.565,82.127,1.24,315.21,61.04,15.18,376.93,1.55225,77.897
Conveyor Belt 4,8/16/2023 7:15,Running,,1499.35,0.09,62.445,81.725,1.12,281.15,85.46,14.6,379.75,1.552,77.824
Conveyor Belt 4,8/16/2023 7:30,Running,,1495.89,0.1,63.05,82.251,1.29,287.37,85.97,15.47,382.08,1.55175,77.751
Conveyor Belt 4,8/16/2023 7:45,Running,,1503.74,0.04,62.924,82.46,1.1,313.67,64.95,14.49,377.86,,77.678
Conveyor Belt 4,8/16/2023 8:00,Running,,1491.18,0.09,62.737,83.116,1.1,284.64,95.6,14.49,381.79,1.55125,77.605
Conveyor Belt 4,8/16/2023 8:15,Running,,1509.18,0.09,63.273,82.627,1.22,304.26,82.17,15.09,376.82,1.551,
Conveyor Belt 4,8/16/2023 8:30,Running,,1493.95,0.04,64.012,82.917,1.15,308.74,62.64,14.76,383.19,1.55075,77.459
Conveyor Belt 4,8/16/2023 8:45,Running,,1494.47,0.1,63.926,83.494,1.38,292.21,79.96,15.88,379.49,1.5505,77.386
Conveyor Belt 4,8/16/2023 9:00,Running,,1493.22,0.1,64.396,83.138,1.34,313.87,82.46,15.69,377.59,1.55025,77.313
Conveyor Belt 4,8/16/2023 9:15,Running,,1503.72,0.05,64.518,83.912,1.03,297.8,58.27,14.13,383.91,1.55,77.24
Conveyor Belt 4,8/16/2023 9:30,Running,,1505.51,0.05,64.5,84.429,1.07,299.11,58.27,14.35,378.09,1.54975,77.167
Conveyor Belt 4,8/16/2023 9:45,Running,,1492.6,0.09,64.762,83.739,1.36,282.03,85.71,15.78,378.69,1.5495,77.094
Conveyor Belt 4,8/16/2023 10:00,Running,,1500.73,0.05,64.781,84.33,1.26,298.4,60.82,15.31,379.78,1.54925,77.021
Conveyor Belt 4,8/16/2023 10:15,Running,,1500.92,0.04,64.565,84.199,1.16,289.06,55.82,14.78,383.06,1.549,76.948
Conveyor Belt 4,8/16/2023 10:30,Running,,1496.76,0.06,65.442,85.319,1.28,293.02,,15.42,381.32,1.54875,76.875
Conveyor Belt 4,8/16/2023 10:45,Running,,1507.65,0.05,65.764,85.499,1.18,301.36,63.16,14.91,384.12,1.5485,76.802
Conveyor Belt 4,8/16/2023 11:00,Running,,1506.8,0.05,65.444,85.23,1.39,294.49,64.54,15.96,384.44,1.54825,76.729
Conveyor Belt 4,8/16/2023 11:15,Running,,1500.1,0.09,65.535,85.066,1.07,295.16,,14.34,384.82,1.548,76.656
Conveyor Belt 4,8/16/2023 11:30,Running,,1496.11,0.09,66.163,85.713,1.38,303.99,83.15,15.92,376.43,1.54775,76.583
Conveyor Belt 4,8/16/2023 11:45,Running,,1497.1,0.04,66.531,86.055,1.01,319.15,60.57,14.03,377.83,1.5475,76.51
Conveyor Belt 4,8/16/2023 12:00,Running,,1501.79,0.06,66.056,86.438,1.38,311.46,59.18,15.91,383.77,1.54725,76.437
Conveyor Belt 4,8/16/2023 12:15,Running,,1503.77,0.08,66.892,86.808,1.16,319.71,75.36,14.8,383.99,1.547,76.364
Conveyor Belt 4,8/16/2023 12:30,Running,,1508.58,0.09,66.838,86.403,1.23,282.81,94.08,15.17,380.19,1.54675,76.291
Conveyor Belt 4,8/16/2023 12:45,Running,,1493.63,0.06,67.242,86.332,1.23,283.52,60.38,15.16,384.93,1.5465,76.218
Conveyor Belt 4,8/16/2023 13:00,Running,,1494.09,0.05,67.409,87.401,1.18,292.61,63.76,14.88,375.12,1.54625,76.145
Conveyor Belt 4,8/16/2023 13:15,Running,,1499.64,nan,67.635,87.277,1.1,281.69,59.44,14.49,375.65,1.546,76.072
Conveyor Belt 4,8/16/2023 13:30,Running,,1507.24,0.09,67.608,87.434,1.23,317.22,85.92,15.16,375.06,1.54575,75.999
Conveyor Belt 4,8/16/2023 13:45,Running,,1494.41,0.05,68.421,87.915,1.27,315.24,64.49,15.35,378.02,1.5455,75.926
Conveyor Belt 4,8/16/2023 14:00,Running,,1494.4,0.06,67.824,88.153,1.4,293.16,62.74,16,377.9,1.54525,75.853
Conveyor Belt 4,8/16/2023 14:15,Running,,1507.02,0.04,67.977,87.928,1.03,292.2,59.75,14.16,379.93,1.545,75.78
Conveyor Belt 4,8/16/2023 14:30,Running,,1503.61,0.05,68.576,88.517,1.33,308.15,59.85,15.64,380.17,1.54475,75.707
Conveyor Belt 4,8/16/2023 14:45,Running,,1498.66,0.09,68.584,88.478,1.05,285.63,88.68,14.23,375.54,1.5445,75.634
Conveyor Belt 4,8/16/2023 15:00,Running,,,0.04,69.091,88.167,1.3,313.92,60.26,15.52,380.81,1.54425,75.561
Conveyor Belt 4,8/16/2023 15:15,Running,,1499.18,0.04,68.816,89.137,1.34,299.01,60.49,15.69,377.41,1.544,75.488
Conveyor Belt 4,8/16/2023 15:30,Running,,1496.82,0.05,69.964,88.995,1.32,304.5,62.9,15.58,382.91,1.54375,75.415
Conveyor Belt 4,8/16/2023 15:45,Running,,1496.09,0.06,69.467,89.266,1.16,286.35,56.58,14.82,383.43,1.5435,75.342
Conveyor Belt 4,8/16/2023 16:00,Running,,1501.02,0.06,69.519,89.073,1.05,303.39,58.06,14.24,383.39,1.54325,75.269
Conveyor Belt 4,8/16/2023 16:15,Running,,1505.21,ERROR,70.064,89.878,1.16,318.87,87.3,14.82,383.65,1.543,75.196
Conveyor Belt 4,8/16/2023 16:30,Running,,1508.89,0.08,70.461,89.512,1.24,301.58,82.58,15.2,382.59,1.54275,75.123
Conveyor Belt 4,8/16/2023 16:45,Running,,1499.29,0.06,70.686,90.588,1.08,299.84,62.79,ERROR,378.19,1.5425,75.05
Conveyor Belt 4,8/16/2023 17:00,Running,,1502.72,0.04,70.643,90.636,1.08,290.84,,14.38,380.52,1.54225,74.977
Conveyor Belt 4,8/16/2023 17:15,Running,,1509.66,0.05,71.315,90.858,1.18,311.51,63.59,14.91,383.9,1.542,74.904
Conveyor Belt 4,8/16/2023 17:30,Running,,1503.47,0.06,71.294,91.052,1.26,303.69,57.61,15.31,377.56,1.54175,74.831
Conveyor Belt 4,8/16/2023 17:45,Running,,1503.56,0.04,71.129,90.66,1.26,303.29,63.83,15.28,381.51,1.5415,74.758
Conveyor Belt 4,8/16/2023 18:00,Running,,1494.3,0.1,71.319,91.405,1.18,284.07,87.64,14.88,376.31,1.54125,74.685
Conveyor Belt 4,8/16/2023 18:15,Running,,1499.08,0.06,71.926,91.5,1.1,306.48,59.43,14.49,380.02,1.541,74.612
Conveyor Belt 4,8/16/2023 18:30,Running,,1496.13,0.05,71.837,91.829,1.15,303.69,62.82,14.75,379.92,1.54075,74.539
Conveyor Belt 4,8/16/2023 18:45,Running,,1501.45,0.04,72.659,91.338,1.3,317.62,57.98,15.49,376.91,1.5405,74.466
Conveyor Belt 4,8/16/2023 19:00,Running,,1491.35,0.05,72.875,91.883,,287.91,64.77,14.53,376.44,1.54025,74.393
Conveyor Belt 4,8/16/2023 19:15,Running,,1493.36,0.06,72.878,92.381,1.04,307.57,63.3,14.2,384.7,,74.32
Conveyor Belt 4,8/16/2023 19:30,Running,,1501.82,0.09,72.557,92.573,1.22,316.28,93.66,15.09,380.72,1.53975,74.247
Conveyor Belt 4,8/16/2023 19:45,Running,,1496.57,0.05,72.862,92.36,1.38,285.7,58.74,15.89,377.43,1.5395,74.174
Conveyor Belt 4,,Running,,1505.83,0.05,73.741,92.413,1.2,290.97,63.98,15.01,379.36,1.53925,74.101
Conveyor Belt 4,8/16/2023 20:15,Running,,1496.86,0.04,73.089,92.677,1.1,294.1,58.9,14.48,375.32,1.539,74.028
Conveyor Belt 4,8/16/2023 20:30,Running,,1490.97,0.07,73.91,93.218,1.15,317.49,93.76,14.73,380.38,1.53875,73.955
Conveyor Belt 4,8/16/2023 20:45,Running,,1495.81,0.04,74.331,93.289,1.19,307.64,59.54,14.97,377.18,1.5385,73.882
Conveyor Belt 4,ERROR,Running,,1491.34,0.04,74.179,93.58,1.3,288.86,55.75,15.5,379.31,1.53825,73.809
Conveyor Belt 4,8/16/2023 21:15,Running,,1497.93,0.1,74.603,93.487,1.34,308.1,79.71,15.68,380.92,1.538,73.736
Conveyor Belt 4,8/16/2023 21:30,Running,,1499.02,0.05,74.23,94.213,1.2,316.37,60.99,14.98,383.16,1.53775,73.663
Conveyor Belt 4,8/16/2023 21:45,Running,,,0.1,75.218,94.206,1.24,285.67,77.5,15.21,382.96,1.5375,73.59
Conveyor Belt 4,8/16/2023 22:00,Running,,1490.69,0.08,75.089,94.3,1.16,311.37,94.62,14.79,379.97,1.53725,73.517
Conveyor Belt 4,8/16/2023 22:15,Running,,1499.56,0.04,75.342,94.554,1.29,306.51,64.62,15.46,,1.537,73.444
Conveyor Belt 4,8/16/2023 22:30,Running,,1501.13,0.05,75.083,94.971,1.11,317.34,56.14,14.55,383.23,,73.371
Conveyor Belt 4,8/16/2023 22:45,Running,,1506.74,0.05,,95.59,1.25,309.2,55.44,15.23,384.42,1.5365,73.298
Conveyor Belt 4,8/16/2023 23:00,nan,,1502.84,0.05,76.119,95.287,1.39,305.42,62.72,15.93,377,1.53625,73.225
Conveyor Belt 4,8/16/2023 23:15,Running,,1503.36,0.05,75.889,95.888,1.06,312.37,64.7,14.28,377.08,1.536,73.152
Conveyor Belt 4,8/16/2023 23:30,Running,,1498.34,0.04,76.001,95.738,1.28,287.36,57.81,15.42,384.19,1.53575,73.079
Conveyor Belt 4,8/16/2023 23:45,Running,,1495.26,0.05,76.106,95.848,1.3,297.35,58.84,15.49,376.62,1.5355,73.006
Conveyor Belt 4,8/17/2023 0:00,Running,,1490.82,0.08,77.13,96.902,1.36,318.07,83.02,15.79,382.09,1.53525,72.933
Conveyor Belt 4,8/17/2023 0:15,Running,,1498.37,0.04,77.076,96.975,1.07,295.5,59.68,14.34,376.48,1.535,72.86
